,id0,id1,points_0,points_1
0,Troy,W. Kentucky,26,31
0,Tulsa,UTEP,33,11
0,Arizona State,Colorado,51,17
0,C. Michigan,Navy,13,31
0,Louisville,Pittsburgh,45,35
0,Iowa State,Kansas State,21,27
0,Oklahoma,Texas,63,21
0,Rutgers,Syracuse,23,15
0,Iowa,Michigan State,19,16
0,Minnesota,Northwestern,13,21
0,Houston,UAB,39,17
0,Army,Kent State,17,31
0,Purdue,Wisconsin,14,38
0,Auburn,Mississippi,20,41
0,Duke,Virginia Tech,20,41
0,Connecticut,Temple,14,17
0,E. Michigan,Toledo,47,52
0,SMU,Tulane,26,27
0,Akron,Ohio,28,34
0,"Miami, FL",North Carolina,14,18
0,UCLA,Utah,21,14
0,Maryland,Virginia,27,20
0,Ball State,W. Michigan,30,24
0,Nevada,UNLV,42,37
0,Alabama,Missouri,42,10
0,Texas Tech,West Virginia,49,14
0,Notre Dame,Stanford,20,13
0,BYU,Oregon State,24,42
0,Boise State,Fresno State,20,10
0,Illinois,Michigan,0,45
0,Bowling Green,"Miami, OH",37,12
0,Kansas,Oklahoma State,14,20
0,Buffalo,N. Illinois,3,45
0,San Jose State,Utah State,27,49
0,East Carolina,Memphis,41,7
0,Boston College,Florida State,7,51
0,Florida,Vanderbilt,31,17
0,FIU,MTSU,30,34
0,Colorado State,San Diego State,14,38
0,Southern Cal,Washington,24,14
0,Arkansas,Kentucky,49,7
0,Baylor,TCU,21,49
0,Air Force,Wyoming,28,27
0,LSU,South Carolina,23,21
0,Indiana,Ohio State,49,52
0,Southern Miss,UCF,31,38
0,Florida Atlantic,La.-Monroe,14,35
0,Mississippi State,Tennessee,41,31
0,La. Tech,Texas A&M,57,59
0,California,Washington State,31,17
0,Hawaii,New Mexico,23,35
0,La.-Lafayette,North Texas,23,30
0,Houston,SMU,42,72
0,Arizona State,Oregon,21,43
0,Connecticut,Syracuse,10,40
0,LSU,Texas A&M,24,19
0,Rutgers,Temple,35,10
