,id0,id1,points_0,points_1,spread,over_under
0,Iowa,Wisconsin,10,6,-5.0,None
0,Kansas State,Oklahoma State,34,36,7.0,None
0,Maryland,Michigan,0,28,14.0,None
0,California,Washington State,34,28,17.0,None
0,Tulane,UCF,45,31,-2.0,None
0,Houston,Tulsa,38,24,9.0,None
0,Missouri,South Carolina,24,10,2.5,None
0,Pittsburgh,Virginia Tech,17,13,-3.5,None
0,Army,Penn State,14,20,25.5,None
0,Iowa State,Kansas,38,13,20.0,None
0,Louisville,N.C. State,20,13,-3.0,None
0,Akron,Ohio,12,14,2.5,None
0,Ball State,Toledo,10,24,6.0,None
0,C. Michigan,N. Illinois,29,30,-1.5,None
0,FIU,Massachusetts,14,24,2.5,None
0,Air Force,Navy,11,33,4.5,None
0,Appalachian State,Wyoming,31,13,26.0,None
0,Bowling Green,Buffalo,28,22,7.5,None
0,Kent State,"Miami, OH",20,14,10.5,None
0,Marshall,Old Dominion,27,7,17.0,None
0,Rice,W. Kentucky,10,49,7.0,None
0,Boston College,Duke,7,9,4.5,None
0,Georgia Tech,North Carolina,31,38,-6.5,None
0,Auburn,San Jose State,35,21,21.5,None
0,East Carolina,SMU,49,23,5.5,None
0,Illinois,Nebraska,14,13,-3.5,None
0,North Texas,Southern Miss,14,49,15.5,None
0,Arkansas,Tennessee,24,20,-6.0,None
0,MTSU,Vanderbilt,13,17,-2.0,None
0,La. Tech,La.-Monroe,43,13,14.5,None
0,Nevada,UNLV,17,23,-6.0,None
0,Colorado State,Utah State,18,33,5.5,None
0,South Alabama,Troy,24,18,-6.0,None
0,Arkansas State,Idaho,49,35,22.0,None
0,Georgia Southern,La.-Monroe,51,31,6.0,None
0,UTEP,UTSA,6,25,3.5,None
0,New Mexico,New Mexico State,38,29,11.0,None
0,Boise State,Hawaii,55,0,27.5,None
0,Fresno State,San Diego State,7,21,7.5,None
0,Colorado,Oregon,24,41,7.0,None
0,Southern Cal,Washington,12,17,-17.0,None
0,Maryland,Ohio State,28,49,32.0,None
0,Kansas State,TCU,45,52,9.0,None
0,Baylor,Kansas,66,7,46.0,None
0,Michigan State,Rutgers,31,24,13.0,None
0,Houston,SMU,49,28,25.0,None
0,Marshall,Southern Miss,31,10,3.5,None
0,N.C. State,Virginia Tech,13,28,2.5,None
0,California,Utah,24,30,7.5,None
0,Clemson,Georgia Tech,43,24,7.5,None
