,id0,id1,points_0,points_1
0,BYU,San Jose State,29.0,16.0
0,San Diego State,TCU,14.0,27.0
0,UCLA,Washington,28.0,25.0
0,Air Force,San Diego State,27.0,41.0
0,California,Southern Cal,9.0,30.0
0,Hawaii,San Jose State,27.0,28.0
0,Indiana,Wisconsin,7.0,59.0
0,Michigan,Michigan State,14.0,28.0
0,Baylor,Texas A&M,28.0,55.0
0,Bowling Green,Toledo,21.0,28.0
0,Penn State,Purdue,23.0,18.0
0,Pittsburgh,Utah,14.0,26.0
0,Cincinnati,Louisville,25.0,16.0
0,Mississippi State,South Carolina,12.0,14.0
0,"Miami, FL",North Carolina,30.0,24.0
0,Buffalo,Temple,0.0,34.0
0,Iowa State,Missouri,17.0,52.0
0,Navy,Rutgers,20.0,21.0
0,UNLV,Wyoming,14.0,41.0
0,Duke,Florida State,16.0,41.0
0,Marshall,Rice,24.0,20.0
0,C. Michigan,E. Michigan,28.0,35.0
0,LSU,Tennessee,38.0,7.0
0,Oklahoma State,Texas,38.0,26.0
0,Georgia Tech,Virginia,21.0,24.0
0,Illinois,Ohio State,7.0,17.0
0,Connecticut,South Florida,16.0,10.0
0,Ball State,Ohio,23.0,20.0
0,Colorado,Washington,24.0,52.0
0,Kent State,"Miami, OH",3.0,9.0
0,N. Illinois,W. Michigan,51.0,22.0
0,SMU,UCF,38.0,17.0
0,Tulane,UTEP,7.0,44.0
0,BYU,Oregon State,38.0,28.0
0,Florida Atlantic,W. Kentucky,0.0,20.0
0,Nevada,New Mexico,49.0,7.0
0,La.-Lafayette,North Texas,30.0,10.0
0,Alabama,Mississippi,52.0,7.0
0,Boise State,Colorado State,63.0,13.0
0,Virginia Tech,Wake Forest,38.0,17.0
0,Clemson,Maryland,56.0,45.0
0,Kansas State,Texas Tech,41.0,34.0
0,Auburn,Florida,17.0,6.0
0,East Carolina,Memphis,35.0,17.0
0,Georgia,Vanderbilt,33.0,28.0
0,Iowa,Northwestern,41.0,31.0
0,La.-Monroe,Troy,38.0,10.0
0,Stanford,Washington,44.0,14.0
0,Idaho,New Mexico State,24.0,31.0
0,Tulsa,UAB,37.0,20.0
0,Kansas,Oklahoma,17.0,47.0
0,Fresno State,Utah State,31.0,21.0
0,Arizona State,Oregon,27.0,41.0
0,Arkansas State,FIU,34.0,16.0
0,UAB,UCF,26.0,24.0
0,Arizona,UCLA,48.0,12.0
0,Syracuse,West Virginia,49.0,23.0
0,Louisville,Rutgers,16.0,14.0
0,Missouri,Oklahoma State,24.0,45.0
0,Clemson,North Carolina,59.0,38.0
0,Kansas,Kansas State,21.0,59.0
0,Illinois,Purdue,14.0,21.0
0,Cincinnati,South Florida,37.0,34.0
0,Buffalo,N. Illinois,30.0,31.0
0,Indiana,Iowa,21.0,45.0
0,Arkansas,Mississippi,29.0,24.0
0,Duke,Wake Forest,23.0,24.0
0,E. Michigan,W. Michigan,14.0,10.0
0,Ball State,C. Michigan,31.0,27.0
0,New Mexico,TCU,0.0,69.0
0,Boston College,Virginia Tech,14.0,30.0
