,id0,id1,points_0,points_1
0,Florida State,Wake Forest,17.0,6.0
0,Boise State,Colorado State,28.0,23.0
0,"Miami, FL",North Carolina,13.0,20.0
0,Syracuse,Virginia Tech,31.0,17.0
0,Florida ,Missouri,40.0,14.0
0,Kansas State,Oklahoma,17.0,38.0
0,Texas Tech,West Virginia,17.0,48.0
0,Oregon State,Utah,14.0,19.0
0,Akron,W. Michigan,0.0,41.0
0,Georgia,Vanderbilt,16.0,17.0
0,Maryland,Minnesota,10.0,31.0
0,Iowa,Purdue,41.0,35.0
0,Illinois,Rutgers,24.0,7.0
0,Georgia Southern,Georgia Tech,24.0,35.0
0,Pittsburgh,Virginia,45.0,31.0
0,E. Michigan,Ohio,27.0,20.0
0,Kent State,"Miami, OH",14.0,18.0
0,MTSU,W. Kentucky,43.0,44.0
0,Ball State,Buffalo,31.0,21.0
0,Bowling Green,Toledo,24.0,42.0
0,C. Michigan,N. Illinois,34.0,28.0
0,La. Tech,Massachusetts,56.0,28.0
0,Arizona,Southern Cal,14.0,48.0
0,Air Force,New Mexico,40.0,45.0
0,Michigan State,Northwestern,40.0,54.0
0,Georgia State,Troy,21.0,31.0
0,Idaho,New Mexico State,55.0,23.0
0,Charlotte,FIU,26.0,27.0
0,FAU,Marshall,21.0,27.0
0,Rice,UTSA,13.0,14.0
0,La.-Monroe,Texas State,40.0,34.0
0,Arkansas State,South Alabama,17.0,7.0
0,Connecticut,South Florida,27.0,42.0
0,Iowa State,Texas,6.0,27.0
0,LSU,Southern Miss,45.0,10.0
0,Notre Dame,Stanford,10.0,17.0
0,Temple,UCF,26.0,25.0
0,Arizona State,Colorado,16.0,40.0
0,UCLA,Washington State,21.0,27.0
0,Nevada,San Jose State,10.0,14.0
0,Hawaii,UNLV,38.0,41.0
0,South Alabama,Troy,21.0,28.0
0,"Miami, FL",Virginia Tech,16.0,37.0
0,BYU,Boise State,27.0,28.0
0,South Florida,Temple,30.0,46.0
0,San Diego State,San Jose State,42.0,3.0
0,California,Oregon,52.0,49.0
0,Alabama,Texas A&M,33.0,14.0
0,Ohio State,Penn State,21.0,24.0
0,Illinois,Michigan,8.0,41.0
0,Oregon State,Washington,17.0,41.0
0,Louisville,N.C. State,54.0,13.0
0,Nebraska,Purdue,27.0,14.0
0,Iowa,Wisconsin,9.0,17.0
0,Houston,SMU,16.0,38.0
0,TCU,West Virginia,10.0,34.0
0,Oklahoma,Texas Tech,66.0,59.0
0,Arkansas,Auburn,3.0,56.0
0,UCLA,Utah,45.0,52.0
0,E. Michigan,W. Michigan,31.0,45.0
0,North Carolina,Virginia,35.0,14.0
0,LSU,Mississippi,38.0,21.0
0,Memphis,Navy,28.0,42.0
0,Army,North Texas,18.0,35.0
0,Massachusetts,South Carolina,28.0,34.0
0,Connecticut,UCF,16.0,24.0
0,C. Michigan,Toledo,17.0,31.0
0,Bowling Green,"Miami, OH",26.0,40.0
0,Indiana,Northwestern,14.0,24.0
0,Kansas,Oklahoma State,20.0,44.0
0,Kansas State,Texas,24.0,21.0
0,Minnesota,Rutgers,34.0,32.0
0,Boston College,Syracuse,20.0,28.0
0,Kent State,Ohio,10.0,14.0
0,Air Force,Hawaii,27.0,34.0
0,Akron,Ball State,35.0,25.0
